city,name,dba,phone,carrier_type,active_trucks,mailing_address,effective_date,active_no
Dallas,COUSINS MOTORS INC,COUSINS FREIGHT,2146000040,Tow Truck Company - Commercial Carrier,1,"5306  BERNAL DR
DALLAS, TX. 75212
",4/9/2016,006429372C
Dallas,GREENLIGHT AUTO SALES INC,NO DATA,214-398-9023,Tow Truck Company,1,"701 S BUCKNER BLVD
DALLAS, TX. 75217
",12/7/2015,006506582C
Dallas,DANIEL BLAIR,BLAIR'S TOWING SERVICE,469-766-1348,Tow Truck Company,1,"4921  RACELL ST
DALLAS, TX. 75210
",6/2/2017,006520651C
Dallas,"PRIORITY RECOVERY, INC",NO DATA,972-287-5576,Tow Truck Company,2,"PO BOX 360265
DALLAS, TX. 75336
",1/13/2017,006428362C
Dallas,AAA LITTLE JOES TOW SERVICE,NO DATA,4696931650,Tow Truck Company,5,"816  CENTRE ST
DALLAS, TX. 75208
",1/3/2017,006519762C
Dallas,SEWELL CORPORATION,SEWELL LEXUS,214-353-2064,Tow Truck Company,2,"6421 LEMMON AVENUE
DALLAS, TX. 75209
",7/1/2011,005637667C
Dallas,JAVIER RAMOS,J.R.V TRUCKING,2147834072,Tow Truck Company - Commercial Carrier,1,"14020 PEYTON DR  APT NO 103
DALLAS, TX. 75240
",8/28/2014,006426050C
Dallas,CASH FOR CARS,CASH FOR CARS,469-544-5555,Tow Truck Company,1,"11111  WALNUT HILL STE 102141
DALLAS, TX. 75238
",6/29/2016,006471183C
Dallas,T.C.TOWING LLC,METRO PARKING SOLUTIONS,8178341191,Tow Truck Company,3,"PO BOX 702952
DALLAS, TX. 75370
",4/1/2017,006471083C
Dallas,VC TOWING,NO DATA,2149847557,Tow Truck Company,1,"4457  REYNA AVE
DALLAS, TX. 75236
",10/27/2016,006497483C
Dallas,ENRIQUE M ACOSTA,ACOSTA TOWING SERVICE,2148763492,Tow Truck Company,1,"17850  SUNMEADOW DR APT 2903
DALLAS, TX. 75252
",5/1/2017,006524184C
Dallas,A ADVANTAGE AUTO GROUP INC.,A ADVANTAGE AUTO GROUP,214-943-3661,Tow Truck Company,1,"602 SOUTH RL THORNTON FWY
DALLAS, TX. 75203
",3/15/2017,006402213C
Dallas,ALLIANCE AUTO CENTER,ALLIANCE TOWING,972-705-9100,Tow Truck Company - Commercial Carrier,2,"13566 FLOYD CIRCLE STE F
DALLAS, TX. 75243
",11/16/2015,006428532C
Dallas,ROME VEH. TOWING SER. INC.,"ROME VEHICLE TOWING SERVICE, INC.",2143662400,Tow Truck Company - Commercial Carrier,1,"PO BOX 820843
DALLAS, TX. 75382
",9/15/2012,005402064C
Dallas,UNIVERSAL RECOVERY INC.,UNIVERSAL HAULERS,2143983244,Tow Truck Company - Commercial Carrier,4,"P O BOX 171509
DALLAS, TX. 75217
",5/22/2017,006454510C
Dallas,JOSE FISCAL,JMF TOWING SERVICE,4693693759,Tow Truck Company,0,"1003 N ZANG BLVD
DALLAS, TX. 75208
",5/5/2016,006512255C
Dallas,TNAB LLC,CITYWIDE TOWING,2149574907,Tow Truck Company,1,"4215 PARRY AVE STE A
DALLAS, . 75223
",2/26/2016,006508842C
Dallas,"APOLLO DELIVERY & WRECKER SERVICE, INC.",NO DATA,2147489099,Tow Truck Company,9,"1434 S HENDERSON
DALLAS, TX. 75223
",6/25/2015,005002688C
Dallas,DON POTEET,STAR MOTORS,9723655347,Tow Truck Company - Commercial Carrier,0,"14830 KLEBERG RD
DALLAS, TX. 75253
",6/1/2017,006451038C
Dallas,JOSE VILLA,VILLA TRANSPORT,4693059914,Tow Truck Company,1,"914  ELMDALE PL
DALLAS, TX. 75224
",1/29/2017,006482661C
Dallas,JOSE AVELAR,FABILAS,972-992-8663,Tow Truck Company,2,"316 N OAK CLIFF BLVD
DALLAS, TX. 75208
",4/7/2016,006496983C
Dallas,G AND C AUTO SALES,GASPAR M HERRERA,2147537783,Tow Truck Company - Commercial Carrier,2,"2165 W MOCKINGBIRD LN
DALLAS, TX. 75235
",10/30/2016,006412441C
Dallas,J & R USED CARS,NO DATA,2143713707,Tow Truck Company - Commercial Carrier,1,"3316 E ILLINOIS
DALLAS, TX. 75216
",5/11/2017,006407677C
Dallas,SERGIO CRUZ,CRUZ TOWING,2143840494,Tow Truck Company,1,"10349  NEWCOMBE DR
DALLAS, TX. 75228
",2/10/2017,006521372C
Dallas,BC TOWING,NO DATA,2147579150,Tow Truck Company,0,"309  REAL OAKS DR
DALLAS, TX. 75217
",4/29/2016,006511854C
Dallas,BRANDON GRUNER,GRUNER AUTOMOTIVE,214-320-7280,Tow Truck Company,1,"12002  GARLAND RD
DALLAS, TX. 75218
",1/14/2017,006514457C
Dallas,WWW.ALLSTAR TOWING LLC,ALLSTAR,214-819-3028,Tow Truck Company - Commercial Carrier,6,"4206 EAST LEDBETTER DR A
DALLAS, TX. 75241
",4/1/2017,006455831C
Dallas,OVI'S TOWING,NO DATA,469-865-0949,Tow Truck Company - Commercial Carrier,4,"1754 GROSS RD
DALLAS, TX. 75228
",4/30/2008,006403494C
Dallas,"NABORS, CLYDE, WRECKER SERVICE",NO DATA,214-763-7787,Tow Truck Company,2,"1326  DOWDY FERRY RD
DALLAS, TX. 75217
",4/3/2017,005015518C
Dallas,SWAT INVESTMENTS LLC,SOUTHWEST AUTO TOW,9722470045,Tow Truck Company - Commercial Carrier,1,"11211 GOODNIGHT LN
DALLAS, TX. 75229
",7/7/2016,006448186C
Dallas,CRUZ AUTO REPAIR,NO DATA,4699514925,Tow Truck Company,1,"2519  MIKE ST
DALLAS, TX. 75212
",6/15/2017,006512495C
Dallas,XAVIER SOTO,XSOTO,2146628699,Tow Truck Company,2,"1547 N CLINTON AVE
DALLAS, TX. 75208
",5/28/2017,006333350C
Dallas,RENTERIA ENGINE PARTS,RENTERIA ENGINE PARTS,2142812052,Tow Truck Company,0,"1926 SOUTH MARSAES
DALLAS, TX. 75216
",1/5/2017,006505571C
Dallas,LERMA'S TOWING,NO DATA,2145327130,Tow Truck Company,1,"5610  ENCHANTED LN
DALLAS, TX. 75227
",1/9/2017,006505481C
Dallas,GLOBE AUTO SALES,GLOBE AUTO SALES,2147411141,Tow Truck Company,1,"1311  FORT WORTH AVE
DALLAS, TX. 75208
",12/17/2013,006485955C
Dallas,LOPEZ BROS. TOWING,LOPEZ BROS. TOWING,2146822263,Tow Truck Company,1,"739 W 10TH ST
DALLAS, TX. 75208
",10/10/2015,006504310C
Dallas,MIKE'S 24HR WRECKER SERVICE LLC,NO DATA,214-388-4344,Tow Truck Company,7,"PO BOX 271300
DALLAS, TX. 75227
",4/5/2017,006523634C
Dallas,"GARY'S USED CARS, LLP",NO DATA,2146302127,Tow Truck Company,1,"5515 SINGLETON BLVD
DALLAS, TX. 75212
",3/9/2015,005063182C
Dallas,FARMERS TOWING LLC,NO DATA,463-338-7341,Tow Truck Company,3,"8035 E R L THORNTON FWY
DALLAS, TX. 75228
",7/1/2016,006479220C
Dallas,FEFO'S WRECKER SERVICE,NO DATA,214 906 2499,Tow Truck Company,1,"9555 EL RITO STREET
DALLAS, TX. 75220
",11/15/2016,005968593C
Dallas,FERNANDO NOVERON,NOVERON TOWING,4698783374,Tow Truck Company,2,"1551  FORDHAM RD
DALLAS, TX. 75216
",1/26/2017,006494511C
Dallas,JUAN MANUEL. VALDEZ,VALDEZ TOWING,2144756567,Tow Truck Company,1,"17703  MEDINA DR
DALLAS, TX. 75287
",11/7/2015,006505471C
Dallas,MARCOS BONILLA,G. T. M. B. TRANSPORT,214-742-0851,Tow Truck Company - Commercial Carrier,1,"PO BOX 29019
DALLAS, TX. 75229
",2/9/2017,006432394C
Dallas,FAMILY MAN TOWING,NO DATA,2142874379,Tow Truck Company,1,"9516  RED WILLOW LN
DALLAS, TX. 75249
",4/6/2017,006494091C
Dallas,OSCAR DEL LLANO,LLANO AUTO SALES,2149236927,Tow Truck Company,1,"4120 W LEDBETTER DR
DALLAS, TX. 75233
",6/12/2017,006525926C
Dallas,DRAYLON GALLOWAY,A-5 MILE TOWING,6825581990,Tow Truck Company,1,"2638  PALL MALL AVE
DALLAS, TX. 75241
",4/6/2017,006473255C
Dallas,R CHAVEZ TOWING,R CHAVEZ TOWING,4693604966,Tow Truck Company,1,"3210  ANZIO DR
DALLAS, TX. 75224
",6/17/2016,006487045C
Dallas,COMMERCIAL TRUCKS MART,RELIEFNET,2149090070,Tow Truck Company,4,"5708 S R L THORNTON FWY
DALLAS, TX. 75232
",1/28/2016,006507441C
Dallas,HERNANDEZ TOWING,NO DATA,4693941684,Tow Truck Company,1,"1124  COSTON DR
DALLAS, TX. 75217
",7/15/2015,006501517C
Dallas,GABRIEL RODRIGUEZ,G.R.P TOWING SERVICE,2143355727,Tow Truck Company,1,"2410 S BARNETT AVE
DALLAS, TX. 75211
",7/11/2016,006461816C
Dallas,OLLIE BROWN,OB,214-881-6219,Tow Truck Company,1,"3307  RUTLEDGE ST
DALLAS, TX. 75215
",7/25/2012,006461716C
Dallas,RON BELL,RC ADJUSTERS,2144754162,Tow Truck Company,1,"PO  BOX 270827
DALLAS, TX. 75227
",4/22/2015,005899427C
Dallas,RONALD MATHIS JR,DOUBLE R TOWING & RECOVERY,2147349626,Tow Truck Company,1,"8521  DUNLAP ST
DALLAS, TX. 75217
",6/3/2017,006521011C
Dallas,SOUTHWEST COLLATERAL RECOVERY LLC,SOUTHWEST RECOVERY,2144923379,Tow Truck Company - Commercial Carrier,7,"P O BOX 700871
DALLAS, TX. 75370
",7/10/2016,006409568C
Dallas,RG 24/7 WRECKER SERVICE,RG 24/7 WRECKER SERVICE,214 381 0894,Tow Truck Company,5,"8344 E RL THORNTON FWY
SUITE 210
DALLAS, TX. 75228
",11/25/2014,006311858C
Dallas,ATA TRADING INC,MAGIC AUTO TRANSPORT,4692262170,Tow Truck Company,1,"2030 S BUCKNER BLVD
DALLAS, TX. 75217
",6/25/2014,006486425C
Dallas,TERRAZAS CARRIERS LLC,FAST & SECURE AUTO TRANSPORT,214-991-5747,Tow Truck Company,1,"PO BOX 4626
DALLAS, TX. 75208
",10/14/2016,006472924C
Dallas,C A P S,NO DATA,2149260122,Tow Truck Company - Commercial Carrier,1,"2502 LEACREST DR
DALLAS, TX. 75216
",1/24/2016,006423388C
Dallas,"LOPEZ, ROBERTO VEGA",RVL WRECKING SERVICE,214-477-3428,Tow Truck Company - Commercial Carrier,1,"1010 VALDEZ
DALLAS, TX. 75253
",8/25/2016,005617074C
Dallas,CUAUHTEMOC VALDESPINO,CUAUHTEMOC TOWING,214-271-7623,Tow Truck Company,1,"3555  DURANGO DR
DALLAS, TX. 75220
",5/8/2014,006478379C
Dallas,ELIU PEREZ,MUSTANG TOWING SERVICE,4693608877,Tow Truck Company,1,"PO BOX 226145
DALLAS, TX. 75222
",8/25/2016,006516118C
Dallas,JULIO C LOPEZ,LV & SONS TOWING,7144780630,Tow Truck Company,5,"3422 W JEFFERSON BLVD
DALLAS, TX. 75211
",1/22/2016,006507581C
Dallas,MONCADA'S TOWING,NO DATA,2142028479,Tow Truck Company - Commercial Carrier,1,"7422 MARINGO DRIVE
DALLAS, TX. 75227
",4/30/2012,006413592C
Dallas,PEDRO ORTIZ,PR TOWING SERVICE,2142030570,Tow Truck Company - Commercial Carrier,1,"11435 KLEVERG  ROAD 220
DALLAS, TX. 75253
",4/28/2016,006442792C
Dallas,MENDEZ TRANSPORT,MENDEZ TRANSPORT,4695698741,Tow Truck Company,1,"722 S STOREY ST
DALLAS, TX. 75203
",5/28/2015,006500997C
Dallas,"TOW STAR, INC",TOW JAM,2145759450,Tow Truck Company,1,"13550 FLOYD CIR
DALLAS, TX. 75243
",1/29/2016,005618205C
Dallas,COOLEY ENTERPRISES  INC.,NO DATA,2143575700,Tow Truck Company,9,"10849 COMPOSITE DRIVE
DALLAS, TX. 75220
",7/1/2009,006151228C
Dalworthington Gardens,*** City Data Not Found ***
Danbury,*** City Data Not Found ***
Dayton,WATSON'S TOWING SERVICE,WATSON'S TOWING SERVICE,936-402-9097,Tow Truck Company,1,"1198  COUNTY ROAD 2327
DAYTON, TX. 77535
",2/24/2017,006521822C
Dayton,JOHNATHAN NUTT,HWY 90 WRECKER SERVICE,8324755776,Tow Truck Company - Commercial Carrier,3,"1973 COUNTY RD 676
DAYTON, TX. 77535
",10/3/2015,006444583C
Dayton,LUIS LUNA,LUNA TOWING & RECOVERY,713 699 5131,Tow Truck Company,4,"392 COUNTY RD 615
DAYTON, TX. 77535
",5/26/2017,006018957C
Dayton,JEFFREY MANN,JRM AUTO SERVICES,832-414-2337,Tow Truck Company,1,"429  COUNTY ROAD 414
DAYTON, TX. 77535
",2/25/2016,006508772C
Dayton,LEE SOWELL,LEE'S WRECKER SERVICE,9362581414,Tow Truck Company,1,"PO BOX 1505
DAYTON, TX. 77535
",12/28/2017,005202998C
Dayton,MAINFRAME 24HR WRECKER SERVICE,NO DATA,,Tow Truck Company,3,"P O BOX 116
DAYTON, TX. 77535
",6/22/2016,005783295C
Dayton Lakes,*** City Data Not Found ***
De Leon,YELLOW WRECKER TOWING SERVICE,YELLOW WRECKER TOWING SERVICE,254-893-6626,Tow Truck Company - Commercial Carrier,1,"P O BOX 47
DE LEON, TX. 76444
",12/17/2016,006426080C
Dean,*** City Data Not Found ***
Decatur,BMG AUTO,NO DATA,9406268000,Tow Truck Company,1,"107 S  HWY 287
DECATUR, TX. 76234
",8/8/2013,006341881C
Decatur,GARY HOWARD TOWING SERVICE LLC,NO DATA,9406272852,Tow Truck Company,1,"1207 N BUSINESS 287
DECATUR, TX. 76234
",12/15/2013,005021118C
Decatur,KEMP'S WRECKER SERVICE LLC,NO DATA,9406273347,Tow Truck Company - Commercial Carrier,5,"P O BOX 2047
DECATUR, TX. 76234
",4/20/2016,006426420C
Decatur,WISE CREDIT LLC,NO DATA,9406277550,Tow Truck Company,2,"P O BOX 1719
DECATUR, TX. 76234
",6/1/2015,006468851C
DeCordova,*** City Data Not Found ***
Deer Park,JUMPMAN TOWING LLC,NO DATA,832-643-5009,Tow Truck Company,2,"PO BOX 116
DEER PARK, TX. 77536
",12/11/2015,006489578C
Deer Park,A & L WRECKER,NO DATA,(832)371-8868,Tow Truck Company - Commercial Carrier,1,"2105 PICKERSON
DEER PARK, TX. 77536
",6/20/2016,006415434C
Deer Park,"GULF COAST ADJUSTERS,INC",NO DATA,7139108868,Tow Truck Company,4,"PO BOX 754
DEER PARK, TX. 77536
",4/16/2014,005349599C
DeKalb,*** City Data Not Found ***
Del Rio,RIO TRAILER AND WRECKER SERVICE,RIO TRAILER SHOP,830-775-5533,Tow Truck Company - Commercial Carrier,4,"807 VETERANS BLVD  REAR
DEL RIO, TX. 78840
",11/30/2015,0000037199
Del Rio,CLAUDIA REYES,KING'S REPAIR SHOP,8304697300,Tow Truck Company,1,"PO BOX 48
DEL RIO, TX. 78841
",9/12/2016,006476117C
Del Rio,RALPH'S BODY SHOP,NO DATA,8307751141,Tow Truck Company,2,"1107 DR F CALDERON BLVD
DEL RIO, TX. 78840
",3/1/2017,005030909C
Del Rio,LEO'S WRECKER SERVICE AND STORAGE,NO DATA,2102981353,Tow Truck Company,1,"3721 HWY 90 EAST
DEL RIO, TX. 78840
",12/22/2014,005143472C
Del Rio,GEORGE'S AUTO SERVICE,NO DATA,2107743300,Tow Truck Company,1,"402 EAST SECOND
DEL RIO, TX. 78840
",,005066432C
Del Rio,LEVRIE USED CARS,NO DATA,2107751020,Tow Truck Company,1,"1017 E BOWIE ST
DEL RIO, TX. 78840
",7/12/2016,005040740C
Del Rio,MARCO MOTORS LLC,NO DATA,8307680735,Tow Truck Company,0,"PO BOX 420727
DEL RIO, TX. 78842
",10/30/2016,006507071C
Del Rio,AMERICAN AUTO BODY REPAIR,NO DATA,8302981379,Tow Truck Company,2,"HWY 90 E BOX 17B
DEL RIO, TX. 78840
",7/25/2016,005430877C
Del Rio,EVELYN  GARCIA,PLATINUM SERVICES,8307036912,Tow Truck Company,0,"507 E ADOBE ST
DEL RIO, TX. 78840
",5/2/2016,006511534C
Del Rio,SOUTHERN COMFORT TOW,SOUTHERN COMFORT TOW,830-313-1869,Tow Truck Company - Commercial Carrier,2,"1005 EAST BOWIE ST
DEL RIO, TX. 78840
",5/29/2017,006447365C
Del Rio,"JVAR, INC.",DEL RIO TOWING  AND WRECKER,830 774 4324,Tow Truck Company,4,"4204 HWY  90 EAST
DEL RIO, TX. 78840
",5/1/2017,006048349C
Dell City,*** City Data Not Found ***
Denison,HOOK EM UP,NO DATA,9036246411,Tow Truck Company - Commercial Carrier,1,"2206 RANDELL LAKE RD
DENISON, TX. 75020
",9/6/2011,006450807C
Denison,"JEFF JEFFERS ENT., INC.",JEFF'S AUTO SALES,903 463 1132,Tow Truck Company,2,"PO BOX 593
DENISON, TX. 75021
",4/27/2017,005075783C
Denison,TEXOMA WRECKER SERVICE,NO DATA,9034632706,Tow Truck Company,1,"209 E BOND ST
DENISON, TX. 75021
",3/6/2017,005559897C
Denison,PAUL MYERS,MYERS TOWING,9038157722,Tow Truck Company,1,"264  BAILEY DR
DENISON, TX. 75021
",5/12/2016,006473565C
Denison,STAN VICK,VIC'S WRECKER SERVI CE,9039655317,Tow Truck Company - Commercial Carrier,1,"1316 S ARMSTRONG
DENISON, TX. 75020
",1/10/2011,006410309C
Denison,"RENDON, DINO, INC",TEXOMA AUTO CARE,9034635168,Tow Truck Company - Commercial Carrier,6,"2902 TEXOMA DRIVE
DENISON, TX. 75020
",10/1/2016,005040450C
Denison,B & B AUTOMOTIVE & WRECKER,NO DATA,9033370199,Tow Truck Company,2,"131 W DAY ST
DENISON, TX. 75021
",7/16/2014,006468152C
Denison,SIMMONS AUTO SALES,NO DATA,9034639750,Tow Truck Company,1,"4722 S TEXOMA PARKWAY
DENISON, TX. 75020
",4/8/2017,005014698C
Denton,"PURSUR, INC.",NO DATA,9403875022,Tow Truck Company,2,"403 FT WORTH DRIVE
DENTON, TX. 76201
",8/4/2016,005020638C
Denton,AKERS TOWING LLC,NO DATA,940-387-5066,Tow Truck Company - Commercial Carrier,6,"715 DALLAS DRIVE
DENTON, TX. 76205
",2/25/2016,005957562C
Denton,E J'S TOWING,NO DATA,9403849866,Tow Truck Company,9,"2008 METRO STREET
DENTON, TX. 76207
",8/2/2016,005562378C
Denton,EL DORADO TOWING,NO DATA,9405951532,Tow Truck Company,1,"3322  WOODTHRUSH LN
DENTON, TX. 76209
",1/27/2017,006494541C
Denton,"TEXAS IMPOUND SERVICES LLC,",NO DATA,9405667002,Tow Truck Company,8,"627 S MAYHILL RD
DENTON, TX. 76208
",3/19/2017,006471563C
Denton,MOTORSPORTS TOWING,NO DATA,9402432900,Tow Truck Company,6,"5002 MILLS ROAD
DENTON, TX. 76208
",5/21/2017,005756911C
Denton,"THE PERCHES BOYZ, INC.",ROBERT'S PAINT-COLLISION & MECHANICAL,9403833695,Tow Truck Company,2,"4213 MESA DR
DENTON, TX. 76207
",8/25/2015,005487961C
Denton,USA TOWING LLC,ON THE ROAD AGAIN,9403901134,Tow Truck Company,7,"209 W COLLINS ST
DENTON, TX. 76201
",7/11/2016,006514447C
Denton,F & T TOWING,NO DATA,9403683850,Tow Truck Company,1,"4729  FOX SEDGE LN
DENTON, TX. 76208
",5/3/2017,006473445C
Denton,B & O SERVICE & TOWING,NO DATA,9403876589,Tow Truck Company,4,"104 W MCKINNEY
DENTON, TX. 76201
",10/1/2009,005057981C
Denton,ALL AMERICAN TOWING AND RECOVERY INC.,ALL AMERICAN TOWING AND RECOVERY INC,9406272800,Tow Truck Company,7,"PO BOX 50565
DENTON, TX. 76206
",1/17/2017,006513846C
Deport,*** City Data Not Found ***
DeSoto,"R.A.L. GROUP, LLC",C.A.R.S.,2143029009,Tow Truck Company,3,"PO  BOX 1401
DESOTO, TX. 75123
",12/6/2016,005504293C
DeSoto,D EAGLES TOWING & TRANSPORT,NO DATA,972-824-8452,Tow Truck Company,2,"808  WOODRIDGE DR
DESOTO, TX. 75115
",3/16/2016,006510013C
DeSoto,ROSE ANDERSON,SAFEHAVEN TOWING,8175010610,Tow Truck Company - Commercial Carrier,1,"542 CEDAR RAPIDS LN
DESOTO, TX. 75115
",5/30/2017,006457773C
DeSoto,HERIBERTO DELABRA,DELABRA TOWING SERVICES,2142588219,Tow Truck Company,3,"1304  ESTATE LN
DESOTO, TX. 75115
",7/13/2017,006512875C
DeSoto,STEVEN SWANSON JR,SHOWBIZ TOWING,817-966-2886,Tow Truck Company,1,"1900 WINDMILL LN
DESOTO, TX. 75115
",3/15/2017,006522823C
DeSoto,MONNIE LESTER,AL-SOP TOWING,2147634644,Tow Truck Company - Commercial Carrier,1,"512 NORTH HAMPTON 236
DESOTO, TX. 75115
",10/13/2016,006456872C
DeSoto,PATRICIA JACKSON,EAGLE TOWING & RECOVERY,469-337-5263,Tow Truck Company,1,"512  DANNY DR
DESOTO, TX. 75115
",3/10/2016,006490669C
DeSoto,YANIRA RAMOS,RAMOS'S AUTO TRANSPORT,2147153918,Tow Truck Company,1,"1003  JANEIL LN
DESOTO, TX. 75115
",3/7/2017,006484053C
Devers,*** City Data Not Found ***
Devine,MIKE'S GARAGE,NO DATA,2106653600,Tow Truck Company,3,"PO BOX 1050
DEVINE, TX. 78016
",4/28/2017,0000039517
Devine,JOSE ANTONIO GUTIERREZ,FIREBALL TOWING & RECOVERY,2106850669,Tow Truck Company - Commercial Carrier,3,"1037 MALONE DRIVE
DEVINE, TX. 78016
",3/14/2017,006431244C
Devine,PAYTON'S GARAGE,NO DATA,2106634510,Tow Truck Company,2,"355 PR 7731
DEVINE, TX. 78016
",6/2/2015,005018128C
Devine,TEXAS TEST FLEET INC.,NO DATA,8306655555,Tow Truck Company,2,"PODRAWER J
DEVINE, TX. 78016
",3/1/2006,000012620C
Devine,"CHAPARRAL FORD, INC.",NO DATA,2106654461,Tow Truck Company - Commercial Carrier,0,"102 COUNTY ROAD 773
DEVINE, TX. 78016
",1/1/2009,000003498C
Diboll,*** City Data Not Found ***
Dickens,*** City Data Not Found ***
Dickinson,WILLIAM K PRICE,SPEEDY'S AUTO WRECKER,2813824781,Tow Truck Company,1,"5315  BONANZA DR
DICKINSON, TX. 77539
",3/11/2017,006509493C
Dickinson,"LIGGIO'S WRECKER SERVICE, INC.",NO DATA,2813375513,Tow Truck Company,4,"2604 44TH STREET
DICKINSON, TX. 77539
",8/19/2010,0000039359
Dickinson,DAVID GRITZEWSKY,ATR,832-285-2457,Tow Truck Company,1,"1307  FM 646 RD
DICKINSON, TX. 77539
",5/2/2017,006523894C
Dickinson,HB TOWING & RECOVERY,HB TOWING & RECOVERY,8325089547,Tow Truck Company,1,"6732  HIDDEN COLONY LN
DICKINSON, TX. 77539
",1/24/2017,006494321C
Dickinson,TAYLOR TOWING LLC,GLOBAL AUTO WRECKER,2813376218,Tow Truck Company,4,"4401  NICHOLINI ST
DICKINSON, TX. 77539
",5/25/2017,006501967C
Dilley,JUAN CERVANTEZ,CERVANTEZ TOWING ROAD SEVERICE,8303785598,Tow Truck Company - Commercial Carrier,2,"PO BOX 477
DILLEY, TX. 78017
",8/18/2011,006450447C
Dilley,ALVARO TIJERINA,A. TIJERINA TOWING,8309656063,Tow Truck Company - Commercial Carrier,6,"PO BOX 2014
DILLEY, TX. 78017
",4/30/2017,006401022C
Dilley,GUTIERREZ GARAGE,NO DATA,8309652795,Tow Truck Company,2,"PO BOX 101
DILLEY, TX. 78017
",4/20/2017,0000039419
Dilley,"RENEGADE WELL SERVICES, LLC",NO DATA,8303785977,Tow Truck Company,1,"PO BOX 1897
DILLEY, TX. 78017
",10/20/2015,006504810C
Dimmitt,DON'S BODY SHOP,NO DATA,806 647 5512,Tow Truck Company,2,"PO BOX 1083
DIMMITT, TX. 79027
",12/1/2016,005946810C
Donna,JJ'S TOWING & RECOVERY,JJ'S TOWING & RECOVERY,9562272038,Tow Truck Company,2,"3603 E HWY 83
DONNA, TX. 78537
",5/12/2016,006511714C
Donna,JUAN JOSE VALERIO,DJ'S TOWING,9562272038,Tow Truck Company,2,"3603 E BUSINESS 83
DONNA, TX. 78537
",10/19/2016,006517620C
Donna,I 2 TOWING,I 2 TOWING,9565327511,Tow Truck Company,1,"3100 E BUSINESS HWY 83 LOT 3
DONNA, TX. 78537
",11/4/2014,006498775C
Donna,MARIO A MORENO,TOW PRO,9564645768,Tow Truck Company,0,"PO BOX 551
DONNA, TX. 78537
",4/11/2016,006510834C
Donna,ATL TOWING,ATL TOWING,9565336614,Tow Truck Company,1,"134  LUNAR DR
DONNA, TX. 78537
",3/14/2017,006503609C
Donna,COR-ZAM LLC,AUTO RESCUE,9564613173,Tow Truck Company,3,"5816 N FM 493
DONNA, TX. 78537
",2/9/2017,006460115C
Donna,UBALDO HERNANDEZ,NO LIMIT TOWING,956-272-4646,Vehicle Storage Facility,,"3100 EAST BUSINESS 83
DONNA, TX. 78537
",6/15/2017,0651571VSF
Donna,A&R WRECKER SERVICE,NO DATA,956-223-6893,Tow Truck Company,1,"3100 E BUSINESS HWY 83
DONNA, TX. 78537
",11/4/2014,006488096C
Donna,COR-ZAM LLC,CORONADO WRECKING STORAGE,,Tow Truck Company - Commercial Carrier,5,"5814 N FM 493
DONNA, TX. 78537
",2/9/2017,006456602C
Donna,ELITE AUTO SALES,NO DATA,956 463 1536,Tow Truck Company - Commercial Carrier,1,"PO  BOX 14
DONNA, TX. 78537
",9/4/2014,006412201C
Donna,MARIO'S AUTO & WRECKER SERVICE,NO DATA,956-464-5891,Tow Truck Company,1,"P O BOX 551
DONNA, TX. 78537
",4/11/2014,005051401C
Donna,UBALDO HERNANDEZ,NO LIMIT TOWING,956-272-4646,Tow Truck Company,1,"3100 E BUSINESS 83
DONNA, TX. 78537
",6/15/2017,006515728C
Donna,FELIPE HERNANDEZ III,ITOS TOWING,956-464-7569,Tow Truck Company,1,"3100 E BUSINESS HIGHWAY 83
DONNA, TX. 78537
",9/7/2015,006479780C
Donna,COR-ZAM LLC,CORONADO WRECKING STORAGE,956-464-7703,Vehicle Storage Facility,,"5814 NORTH FM 493
DONNA, TX. 78537
",2/9/2017,0645889VSF
Donna,A & R WRECKER SERVICE,NO DATA,956-223-6893,Vehicle Storage Facility,,"3100 E BUSINESS HWY 83
DONNA, TX. 78735
",11/4/2014,0648812VSF
Donna,RAFAEL CAVAZOS,LOS AMIGOS TOWING,9562610720,Tow Truck Company,0,"134  LUNAR DR
DONNA, TX. 78537
",5/23/2017,006525535C
Dorchester,*** City Data Not Found ***
Dripping Springs,"DRIPPIN' TOWIN' SERVICE, INC",NO DATA,5122642757,Tow Truck Company,4,"12015 BONHAM RANCH ROAD
DRIPPING SPRINGS, TX. 78620
",4/24/2017,005350299C
Driscoll,RICHARD'S GARAGE,NO DATA,5123873892,Tow Truck Company,1,"PO BOX 457
DRISCOLL, TX. 78351
",8/10/2016,005326147C
Dublin,GLUECK TOWING AND RECOVERY INC,NO DATA,2544854282,Tow Truck Company,6,"17760 SOUTH US 377
DUBLIN, TX. 76446
",12/6/2016,005756161C
Dumas,RUIZ TOWING,NO DATA,8069350300,Tow Truck Company - Commercial Carrier,1,"117 PINE AVE
DUMAS, TX. 79029
",9/21/2009,006422368C
Dumas,PACKS WRECKER SERVICE,PACKS WRECKER SERVICE LLC,8069357293,Tow Truck Company,4,"808 BENNETT DR
DUMAS, TX. 79029
",10/19/2014,005046660C
Duncanville,"J & S TOWING & RECOVERY, INC.",NO DATA,214-333-9420,Tow Truck Company,5,"1315 N MAIN ST
DUNCANVILLE, TX. 75116
",8/24/2016,005022288C
Duncanville,"J. HALL SERVICES, INC. DBA HALL RECOVERY",HRS,9722983338,Tow Truck Company,8,"1315 N COCKRELL HILL RD
DUNCANVILLE, TX. 75116
",12/20/2016,0000037932
